-5.617588047166659832e+08,-3.061835736666671187e+07,-5.617588047166659832e+08
-5.758655431833335161e+08,-1.713443655666667223e+08,-5.758655431833335161e+08
-7.400198934666658640e+08,-1.440712935999999642e+08,-7.400198934666658640e+08
-5.057050799666665196e+08,-1.086391029999998808e+08,-5.057050799666665196e+08
-5.491361920500003099e+08,-1.957272783666665554e+08,-5.491361920500003099e+08
-6.929353298833332062e+08,-2.736845810666666627e+08,-6.929353298833332062e+08
-6.200892293499995470e+08,-2.186161481833333969e+08,-6.200892293499995470e+08
-5.483971462999986410e+08,-1.555796274833332002e+08,-5.483971462999986410e+08
-5.225681449333331585e+08,-9.988987908333325386e+07,-5.225681449333331585e+08
-3.775307029499999881e+08,-1.210364270833332390e+08,-3.775307029499999881e+08
5.631566994833343029e+08,8.361633333333400078e+05,5.631566994833343029e+08
5.250161261333327889e+08,2.172246614999999851e+07,5.250161261333327889e+08
6.587115227833343744e+08,-6.705767078333332390e+07,6.587115227833343744e+08
5.703525198000005484e+08,-1.237633033333335770e+06,5.703525198000005484e+08
6.278221223166674376e+08,7.750728736666664481e+07,6.278221223166674376e+08
4.962219731333328485e+08,-1.362836763333334215e+07,4.962219731333328485e+08
7.095047754499996901e+08,-5.560077766666648909e+06,7.095047754499996901e+08
5.312291406833334565e+08,2.323502225000001118e+07,5.312291406833334565e+08
6.328960432333332300e+08,5.061841558333335817e+07,6.328960432333332300e+08
6.085332365833337307e+08,5.210086810000003129e+07,6.085332365833337307e+08
